codigo,descricao,cd_mun
178,JENIPAPO DOS VIEIRAS,2105476
179,DARCINOPOLIS,1706506
180,JUNCO DO MARANHAO,2105658
181,ESPERANTINA,1707405
182,LAGOA DO MATO,2105922
183,MAURILANDIA DO TOCANTINS,1712801
184,LAGO DOS RODRIGUES,2105948
185,PALMEIRAS DO TOCANTINS,1713809
186,LAGOA GRANDE DO MARANHAO,2105963
187,MURICILANDIA,1713957
188,LAJEADO NOVO,2105989
189,PALMEIRANTE,1715705
190,MARACACUME,2106326
191,PAU D'ARCO,1716307
192,MARAJA DO SENA,2106359
193,RIACHINHO,1718550
194,MARANHAOZINHO,2106375
195,SANTA FE DO ARAGUAIA,1718865
196,MATOES DO NORTE,2106631
197,SAO BENTO DO TOCANTINS,1720101
198,MILAGRES DO MARANHAO,2106672
199,SAO MIGUEL DO TOCANTINS,1720200
200,NOVA COLINAS,2107258
201,NOVO AIRAO,1303205
202,NOVA OLINDA DO MARANHAO,2107357
203,ANORI,1300102
204,OLINDA NOVA DO MARANHAO,2107456
205,ATALAIA DO NORTE,1300201
206,PAULINO NEVES,2108058
207,AUTAZES,1300300
208,PEDRO DO ROSARIO,2108256
209,BARCELOS,1300409
210,PERITORO,2108454
211,BARREIRINHA,1300508
212,PORTO RICO DO MARANHAO,2109056
213,BENJAMIN CONSTANT,1300607
214,PRESIDENTE MEDICI,2109239
215,BOCA DO ACRE,1300706
216,PRESIDENTE SARNEY,2109270
217,BORBA,1300805
218,RAPOSA,2109452
219,CANUTAMA,1300904
220,RIBAMAR FIQUENE,2109551
221,CARAUARI,1301001
222,SANTA FILOMENA DO MARANHAO,2109759
223,CAREIRO,1301100
224,SANTANA DO MARANHAO,2110237
225,COARI,1301209
226,SANTO AMARO DO MARANHAO,2110278
227,CODAJAS,1301308
228,SAO DOMINGOS DO AZEITAO,2110658
229,EIRUNEPE,1301407
230,SAO FRANCISCO DO BREJAO,2110856
231,ENVIRA,1301506
232,SAO JOAO DO CARU,2111029
233,FONTE BOA,1301605
234,SAO JOAO DO PARAISO,2111052
235,HUMAITA,1301704
236,SAO JOAO DO SOTER,2111078
237,SANTA ISABEL DO RIO NEGRO,1303601
